movie,year,genres,runtime_minutes,averagerating,numvotes,studio,domestic_gross,foreign_gross
Foxcatcher,2014,"['Biography', 'Drama', 'Sport']",134.0,7.0,125954,SPC,12100000.0,0.0
Killers,2010,"['Action', 'Comedy', 'Romance']",100.0,5.4,82237,LGF,47100000.0,51100000.0
Eva,2010,['Drama'],111.0,5.4,334,Wein.,16700.0,0.0
Dirty Girl,2010,"['Comedy', 'Drama']",90.0,6.5,10038,Wein.,55100.0,0.0
Paddington,2014,"['Adventure', 'Comedy', 'Family']",95.0,7.2,84679,W/Dim.,76300000.0,191800000.0
Trance,2010,['Horror'],83.0,4.6,77,FoxS,2300000.0,21900000.0
Blue Valentine,2010,"['Drama', 'Romance']",112.0,7.4,170089,Wein.,9700000.0,2600000.0
Seventh Son,2014,"['Action', 'Adventure', 'Fantasy']",102.0,5.5,66565,Uni.,17200000.0,97000000.0
The Ides of March,2011,"['Drama', 'Thriller']",101.0,7.1,207417,Sony,41000000.0,35000000.0
Free State of Jones,2016,"['Action', 'Biography', 'Drama']",139.0,6.9,45135,STX,20800000.0,4200000.0
Big Eyes,2014,"['Biography', 'Crime', 'Drama']",106.0,7.0,77447,Wein.,14500000.0,14800000.0
Burlesque,2010,"['Drama', 'Music', 'Musical']",119.0,6.4,71021,SGem,39400000.0,50100000.0
Morning Glory,2010,"['Comedy', 'Drama', 'Romance']",107.0,6.5,67367,Par.,31000000.0,29000000.0
Shutter Island,2010,"['Mystery', 'Thriller']",138.0,8.1,1005960,Par.,128000000.0,166800000.0
2:22,2017,['Thriller'],98.0,5.8,16318,Magn.,400.0,0.0
Lay the Favorite,2012,"['Comedy', 'Drama', 'Romance']",94.0,4.8,10555,RTWC,21000.0,1600000.0
Green Lantern,2011,"['Action', 'Adventure', 'Sci-Fi']",114.0,5.5,252281,WB,116600000.0,103300000.0
Takers,2010,"['Action', 'Crime', 'Thriller']",107.0,6.2,53377,SGem,57700000.0,11300000.0
A Tale of Love and Darkness,2015,"['Biography', 'Drama', 'History']",95.0,6.0,3056,FCW,572000.0,0.0
The Ghost Writer,2010,"['Drama', 'Mystery', 'Thriller']",128.0,7.2,148274,Sum.,15500000.0,44700000.0
Frankenweenie,2012,"['Animation', 'Comedy', 'Family']",87.0,7.0,89489,BV,35300000.0,46200000.0
Holy Rollers,2010,"['Biography', 'Crime', 'Drama']",89.0,5.9,4664,FInd.,303000.0,305000.0
Beastly,2011,"['Drama', 'Fantasy', 'Romance']",86.0,5.6,72599,CBS,27900000.0,15300000.0
Freakonomics,2010,['Documentary'],93.0,6.4,6466,Magn.,101000.0,16400.0
The Joneses,2011,"['Comedy', 'Drama']",117.0,6.9,87,RAtt.,1500000.0,5500000.0
The Karate Kid,2010,"['Action', 'Drama', 'Family']",140.0,6.2,146401,Sony,176600000.0,182500000.0
Cheerful Weather for the Wedding,2012,"['Comedy', 'Drama', 'Romance']",89.0,5.6,2048,IFC,2700.0,0.0
The Rite,2011,"['Drama', 'Horror', 'Mystery']",114.0,6.0,85604,WB (NL),33000000.0,63000000.0
Biutiful,2010,"['Drama', 'Romance']",148.0,7.5,80382,RAtt.,5100000.0,20000000.0
The Hobbit: The Desolation of Smaug,2013,"['Adventure', 'Fantasy']",161.0,7.8,565563,WB (NL),258399999.0,700000000.0
Baggage Claim,2013,['Comedy'],96.0,5.1,8296,FoxS,21600000.0,887000.0
Demolition,2015,"['Comedy', 'Drama']",101.0,7.0,78099,FoxS,2000000.0,0.0
The Company Men,2010,['Drama'],104.0,6.8,41139,Wein.,4400000.0,441000.0
The Myth of the American Sleepover,2010,"['Comedy', 'Drama', 'Romance']",96.0,6.3,3437,IFC,41000.0,0.0
All Good Things,2010,"['Crime', 'Drama', 'Mystery']",101.0,6.3,49684,Magn.,582000.0,62500.0
A Walk in the Woods,2015,"['Adventure', 'Biography', 'Comedy']",104.0,6.3,22033,BG,29500000.0,8000000.0
From Paris with Love,2010,"['Action', 'Crime', 'Thriller']",92.0,6.5,107079,LGF,24100000.0,28700000.0
10 Cloverfield Lane,2016,"['Drama', 'Horror', 'Mystery']",103.0,7.2,260383,Par.,72100000.0,38100000.0
Black Death,2010,"['Action', 'Adventure', 'Drama']",102.0,6.4,41103,Magn.,22600.0,243000.0
You Will Meet a Tall Dark Stranger,2010,"['Comedy', 'Drama', 'Romance']",98.0,6.3,41608,SPC,3200000.0,31000000.0
Marley,2012,"['Biography', 'Documentary', 'Music']",144.0,8.0,12503,Magn.,1400000.0,0.0
Welcome to the Rileys,2010,['Drama'],110.0,7.0,22210,Gold.,159000.0,158000.0
When in Rome,2010,"['Comedy', 'Romance']",91.0,5.6,57396,BV,32700000.0,10400000.0
Jai Ho,2014,"['Action', 'Drama']",135.0,5.3,15531,Eros,1300000.0,0.0
My Name Is Khan,2010,['Drama'],165.0,8.0,90988,FoxS,4000000.0,38300000.0
